Temperature (°C),pH,Dissolved O2 (mg/L),BOD (mg/L),Conductivity (µS/cm),Salinity (ppt),Nitrate-N Concentration (mg/L),Bioremediating Organism
24.84,6.87,11.5,3.39,277.77,4.04,9.68,Ideonella sakaiensis
23.76,6.24,10.37,3.36,372.52,4.0,13.51,Pseudomonas putida
22.16,6.63,8.22,2.78,263.98,3.55,14.43,Pseudomonas putida
26.79,8.61,9.42,7.98,150.45,0.68,4.23,Alcaligenes eutrophus
26.86,7.98,8.81,13.37,601.05,0.11,10.66,Alcaligenes eutrophus
23.44,6.7,9.5,6.14,883.69,0.3,28.86,Acinetobacter baumannii
22.08,6.63,12.17,7.16,830.54,0.8,29.87,Acinetobacter baumannii
25.92,7.09,8.74,3.9,649.33,2.15,34.61,Acinetobacter baumannii
27.47,8.14,6.98,9.47,630.83,1.02,23.06,Pseudomonas aeruginosa
28.76,8.53,11.46,3.95,198.97,0.95,6.43,Alcaligenes eutrophus
27.1,7.12,11.51,6.42,284.54,4.74,15.6,Ideonella sakaiensis
21.2,7.35,9.87,6.68,296.48,2.87,18.79,Bacillus cereus
23.48,7.15,10.55,4.66,593.35,4.83,10.01,Ideonella sakaiensis
22.77,7.92,8.43,8.83,547.69,0.65,0.48,Alcaligenes eutrophus
29.11,7.82,10.93,7.37,628.39,0.51,0.96,Alcaligenes eutrophus
23.6,7.21,8.49,1.15,374.05,3.9,12.75,Pseudomonas putida
23.37,7.75,10.86,12.19,343.24,0.51,12.82,Alcaligenes eutrophus
20.12,6.52,10.5,3.75,255.44,4.31,10.78,Ideonella sakaiensis
27.72,7.22,13.46,3.94,789.66,0.48,23.28,Acinetobacter baumannii
29.54,8.12,8.3,5.26,469.53,0.34,1.93,Alcaligenes eutrophus
24.84,7.31,11.42,2.98,291.9,3.62,14.47,Pseudomonas putida
29.89,6.51,10.64,3.6,537.6,4.81,19.2,Ideonella sakaiensis
23.81,6.61,8.43,4.83,154.22,3.93,13.63,Pseudomonas putida
29.46,7.21,8.65,3.97,433.99,4.41,8.09,Ideonella sakaiensis
21.27,7.3,13.32,2.8,597.94,4.51,4.51,Ideonella sakaiensis
25.77,6.86,10.19,8.42,511.44,4.12,2.31,Ideonella sakaiensis
21.4,7.89,8.65,7.33,389.2,2.89,21.58,Bacillus cereus
23.81,6.87,8.28,4.82,610.03,2.34,21.4,Acinetobacter baumannii
23.12,7.18,10.46,6.93,384.63,4.91,13.03,Ideonella sakaiensis
29.67,6.9,10.07,2.74,251.54,4.99,19.79,Ideonella sakaiensis
26.06,8.32,9.29,12.61,301.36,0.05,28.35,Pseudomonas aeruginosa
24.64,6.84,8.26,1.25,174.75,3.68,14.82,Pseudomonas putida
23.01,7.05,8.88,3.26,111.54,3.52,13.51,Pseudomonas putida
23.13,7.31,8.63,4.41,580.79,4.2,5.93,Ideonella sakaiensis
26.26,7.39,7.35,7.37,638.94,0.17,0.68,Alcaligenes eutrophus
26.57,6.93,11.48,2.11,780.06,0.51,19.6,Acinetobacter baumannii
21.43,6.08,10.25,2.87,124.68,3.66,12.36,Pseudomonas putida
22.62,6.71,11.08,4.43,595.94,4.55,0.07,Ideonella sakaiensis
25.7,8.25,8.9,10.07,431.38,1.31,24.13,Pseudomonas aeruginosa
28.98,7.15,9.9,14.44,368.68,0.56,19.35,Pseudomonas aeruginosa
27.37,7.63,11.06,4.82,458.63,0.02,3.47,Alcaligenes eutrophus
20.86,6.12,9.45,1.05,359.93,3.61,13.54,Pseudomonas putida
24.62,7.15,8.81,9.02,169.67,2.65,6.47,Bacillus cereus
29.93,7.8,10.68,11.8,582.24,0.3,13.21,Alcaligenes eutrophus
21.08,6.79,7.7,4.83,401.2,2.47,13.05,Bacillus cereus
22.07,6.89,10.01,4.39,797.74,1.55,18.78,Acinetobacter baumannii
24.52,7.12,12.68,6.19,577.47,4.24,3.54,Ideonella sakaiensis
24.89,7.4,6.56,8.5,640.66,0.5,3.12,Alcaligenes eutrophus
24.74,6.81,8.25,7.25,257.51,2.97,7.08,Bacillus cereus
21.75,6.76,10.22,7.37,334.8,2.46,18.57,Bacillus cereus
23.76,8.24,5.09,6.97,257.13,0.35,4.39,Alcaligenes eutrophus
23.69,6.76,10.03,4.24,617.86,0.35,20.52,Acinetobacter baumannii
25.06,6.54,9.15,5.24,441.55,4.54,17.41,Ideonella sakaiensis
25.93,7.35,10.69,12.9,214.02,0.54,10.46,Alcaligenes eutrophus
23.56,6.17,9.04,3.01,293.34,3.99,13.8,Pseudomonas putida
27.69,9.0,8.4,11.03,634.24,1.4,19.46,Pseudomonas aeruginosa
22.49,6.67,9.4,5.1,311.01,2.8,13.24,Bacillus cereus
23.57,7.82,8.78,4.47,372.09,2.03,19.39,Bacillus cereus
28.26,7.63,9.98,8.45,381.39,1.4,29.46,Pseudomonas aeruginosa
22.85,6.33,7.97,3.54,257.72,3.92,13.0,Pseudomonas putida
21.29,6.37,7.77,1.82,272.2,3.54,13.31,Pseudomonas putida
24.06,6.99,6.5,4.96,191.95,2.73,20.21,Bacillus cereus
20.59,7.13,9.4,4.69,181.28,3.79,12.95,Pseudomonas putida
20.3,6.7,6.77,5.02,396.37,2.68,22.07,Bacillus cereus
23.01,7.11,9.01,3.55,177.23,3.68,14.65,Pseudomonas putida
26.64,7.44,6.98,9.48,672.98,0.19,14.58,Pseudomonas aeruginosa
20.33,7.42,6.16,7.48,489.27,2.65,11.94,Bacillus cereus
20.22,7.3,8.84,3.77,339.94,3.91,13.05,Pseudomonas putida
28.37,6.86,8.61,2.12,274.18,4.25,12.77,Ideonella sakaiensis
23.35,7.69,5.17,5.11,228.07,0.15,4.09,Alcaligenes eutrophus
21.6,7.34,11.41,7.03,357.09,4.57,17.17,Ideonella sakaiensis
23.21,6.8,10.57,5.78,979.98,0.71,30.2,Acinetobacter baumannii
20.73,7.93,6.43,6.43,411.35,2.21,14.55,Bacillus cereus
23.41,8.35,8.36,11.9,342.67,0.31,11.54,Alcaligenes eutrophus
22.58,7.75,7.08,8.27,361.9,2.71,21.03,Bacillus cereus
29.02,8.28,8.82,6.57,551.97,1.9,15.59,Pseudomonas aeruginosa
22.63,7.05,11.69,2.98,400.71,0.23,28.81,Acinetobacter baumannii
24.27,6.83,8.31,4.83,221.87,4.92,18.44,Ideonella sakaiensis
21.74,6.6,11.18,3.32,330.06,4.32,4.14,Ideonella sakaiensis
27.19,6.7,13.58,9.16,282.73,4.04,1.71,Ideonella sakaiensis
29.36,8.13,8.89,13.4,660.85,1.78,20.92,Pseudomonas aeruginosa
22.17,6.6,6.6,8.26,250.71,2.7,12.61,Bacillus cereus
20.07,7.21,13.95,9.66,236.32,4.1,9.59,Ideonella sakaiensis
21.67,7.82,7.22,5.94,250.55,2.28,9.95,Bacillus cereus
21.91,6.29,8.11,1.18,199.52,3.93,13.59,Pseudomonas putida
28.62,7.64,7.59,4.79,457.34,1.45,28.57,Pseudomonas aeruginosa
25.74,8.19,5.63,11.45,733.0,1.93,16.87,Pseudomonas aeruginosa
24.69,7.61,9.36,4.35,211.55,2.66,10.47,Bacillus cereus
27.88,6.94,13.75,2.57,902.19,2.06,29.2,Acinetobacter baumannii
20.65,6.51,10.99,4.75,327.17,3.93,14.03,Pseudomonas putida
26.16,8.39,7.76,11.07,452.89,1.99,24.43,Pseudomonas aeruginosa
26.92,7.96,7.74,14.75,597.46,0.11,21.32,Pseudomonas aeruginosa
24.41,6.9,13.98,5.24,294.56,4.68,19.67,Ideonella sakaiensis
29.86,7.37,8.0,2.02,406.96,4.46,7.1,Ideonella sakaiensis
21.03,7.19,13.14,7.52,686.5,1.5,24.48,Acinetobacter baumannii
22.74,7.41,8.13,2.48,243.17,3.61,12.03,Pseudomonas putida
24.88,6.74,10.92,6.85,313.12,4.94,8.28,Ideonella sakaiensis
26.46,6.83,12.7,3.97,349.17,4.36,10.95,Ideonella sakaiensis
24.61,7.87,8.1,4.66,445.17,2.73,22.17,Bacillus cereus
24.65,6.63,9.74,2.36,253.61,4.08,4.45,Ideonella sakaiensis
21.71,7.09,12.16,2.23,227.21,4.15,7.04,Ideonella sakaiensis
21.57,8.15,8.4,4.13,295.39,0.77,8.95,Alcaligenes eutrophus
27.62,6.65,12.49,6.03,898.98,1.3,22.26,Acinetobacter baumannii
24.24,6.54,7.69,8.88,204.88,2.75,8.65,Bacillus cereus
25.13,8.59,5.17,8.35,701.27,0.19,22.6,Pseudomonas aeruginosa
22.38,7.57,9.8,5.99,214.55,2.24,24.69,Bacillus cereus
24.38,6.85,8.61,7.24,485.14,0.08,24.37,Acinetobacter baumannii
25.01,7.06,8.28,9.07,411.73,4.02,19.24,Ideonella sakaiensis
22.44,6.88,11.0,4.09,164.9,3.72,13.76,Pseudomonas putida
27.71,7.02,10.15,3.35,409.16,1.48,16.51,Acinetobacter baumannii
25.71,6.55,9.41,4.24,417.68,4.82,2.22,Ideonella sakaiensis
22.49,7.42,12.63,4.07,571.76,4.52,17.89,Ideonella sakaiensis
26.13,6.91,13.92,5.91,901.31,1.56,32.45,Acinetobacter baumannii
24.49,7.14,8.53,7.32,332.08,4.28,16.01,Ideonella sakaiensis
20.07,6.93,12.99,7.84,840.54,2.01,33.49,Acinetobacter baumannii
20.08,7.43,9.23,2.36,237.29,3.53,13.29,Pseudomonas putida
26.86,8.95,8.62,7.96,512.87,0.9,0.21,Alcaligenes eutrophus
28.42,7.1,11.49,14.68,238.85,0.93,11.82,Alcaligenes eutrophus
24.14,6.97,11.24,4.72,384.96,3.63,14.57,Pseudomonas putida
24.05,8.0,5.08,3.41,222.9,0.83,7.11,Alcaligenes eutrophus
25.72,8.27,10.64,1.92,390.75,0.39,7.47,Alcaligenes eutrophus
28.31,8.55,5.76,9.18,445.03,1.83,13.5,Pseudomonas aeruginosa
20.89,7.92,10.26,6.63,472.24,2.97,12.82,Bacillus cereus
21.7,7.89,8.44,7.48,366.39,2.75,13.16,Bacillus cereus
23.46,6.94,8.7,1.74,207.5,3.67,14.9,Pseudomonas putida
22.07,7.03,8.95,7.01,150.56,2.86,9.88,Bacillus cereus
23.67,8.26,7.01,4.42,638.17,0.1,6.43,Alcaligenes eutrophus
23.58,6.68,9.79,3.83,736.81,1.2,35.88,Acinetobacter baumannii
24.54,8.22,10.86,13.29,251.45,0.66,13.94,Alcaligenes eutrophus
24.47,8.02,8.3,10.61,676.5,0.93,10.92,Alcaligenes eutrophus
28.38,8.85,8.45,9.56,366.42,1.61,25.68,Pseudomonas aeruginosa
23.43,6.1,11.3,1.76,263.89,3.8,13.99,Pseudomonas putida
20.79,6.63,12.74,7.75,363.36,4.76,3.36,Ideonella sakaiensis
25.67,7.71,11.55,12.03,475.69,0.29,10.38,Alcaligenes eutrophus
25.42,6.53,8.36,3.76,455.17,4.05,10.41,Ideonella sakaiensis
20.37,7.11,12.86,3.73,288.27,4.46,9.07,Ideonella sakaiensis
29.76,7.15,7.35,12.04,336.65,0.58,27.49,Pseudomonas aeruginosa
20.73,6.84,6.67,6.26,452.78,2.48,22.22,Bacillus cereus
20.28,7.18,11.55,3.38,106.31,3.54,13.32,Pseudomonas putida
21.25,7.32,12.91,7.02,372.56,4.67,3.68,Ideonella sakaiensis
20.33,8.79,6.04,9.69,354.12,0.74,8.24,Alcaligenes eutrophus
25.58,6.8,8.38,2.95,512.23,1.26,21.75,Acinetobacter baumannii
28.98,7.01,10.72,13.68,409.02,0.29,14.37,Alcaligenes eutrophus
22.55,6.59,8.56,7.56,305.58,4.81,12.0,Ideonella sakaiensis
28.95,7.5,5.45,14.71,225.96,0.65,12.63,Alcaligenes eutrophus
27.41,8.66,9.87,6.17,628.47,0.74,5.18,Alcaligenes eutrophus
24.41,6.53,13.95,3.28,464.09,4.37,18.24,Ideonella sakaiensis
23.44,6.78,8.96,2.76,229.88,3.88,14.86,Pseudomonas putida
25.13,6.64,8.44,6.28,962.89,0.13,31.49,Acinetobacter baumannii
24.55,7.09,7.54,1.87,258.41,3.7,12.33,Pseudomonas putida
20.12,7.37,8.82,1.44,378.66,3.56,12.2,Pseudomonas putida
24.23,6.71,8.02,6.08,436.32,4.85,14.66,Ideonella sakaiensis
23.98,6.78,8.09,9.58,261.07,2.1,6.81,Bacillus cereus
20.68,6.93,8.7,6.23,555.53,4.29,4.25,Ideonella sakaiensis
29.75,7.24,11.38,2.91,650.12,0.67,1.32,Alcaligenes eutrophus
25.42,7.18,8.97,10.59,170.6,0.13,12.43,Alcaligenes eutrophus
25.0,7.23,9.25,12.15,420.39,0.74,16.19,Pseudomonas aeruginosa
26.61,7.28,9.76,14.66,751.67,1.43,27.6,Pseudomonas aeruginosa
24.88,6.5,7.69,3.47,293.1,3.65,14.11,Pseudomonas putida
27.27,8.16,9.93,10.77,366.87,0.2,26.63,Pseudomonas aeruginosa
22.29,6.89,10.46,8.8,549.78,4.48,2.48,Ideonella sakaiensis
22.53,6.56,7.12,4.7,213.02,3.85,14.51,Pseudomonas putida
23.92,7.11,10.28,5.15,793.95,2.24,16.88,Acinetobacter baumannii
21.91,6.99,8.19,2.93,175.69,3.97,12.72,Pseudomonas putida
24.55,7.71,10.76,12.62,181.84,0.41,10.53,Alcaligenes eutrophus
29.26,8.91,6.2,6.79,502.67,0.3,3.92,Alcaligenes eutrophus
21.3,7.27,8.93,1.03,145.69,3.51,14.13,Pseudomonas putida
25.38,6.54,8.98,2.8,288.0,4.79,9.35,Ideonella sakaiensis
23.88,7.23,9.02,4.19,249.58,3.97,12.27,Pseudomonas putida
23.64,6.8,13.78,4.92,585.84,4.71,8.74,Ideonella sakaiensis
26.77,6.63,12.69,5.1,741.0,2.25,26.49,Acinetobacter baumannii
24.99,6.76,11.11,4.75,588.94,0.14,23.37,Acinetobacter baumannii
23.44,7.2,8.19,3.83,240.38,2.72,9.43,Bacillus cereus
21.87,7.46,8.09,7.06,208.12,3.0,11.68,Bacillus cereus
28.67,7.36,12.69,3.5,546.92,4.72,13.34,Ideonella sakaiensis
22.19,7.47,9.75,9.08,201.42,0.24,9.31,Alcaligenes eutrophus
25.47,7.91,8.47,1.31,693.68,0.73,7.38,Alcaligenes eutrophus
25.34,7.18,7.86,12.68,695.34,0.11,24.04,Pseudomonas aeruginosa
21.22,6.68,12.12,3.59,528.07,1.28,24.33,Acinetobacter baumannii
22.33,6.64,10.34,4.3,402.1,2.91,23.13,Bacillus cereus
26.26,6.7,11.51,7.14,919.19,1.4,15.51,Acinetobacter baumannii
25.29,8.26,5.64,12.27,572.98,0.92,14.15,Alcaligenes eutrophus
20.81,7.39,9.93,2.96,382.45,4.95,6.78,Ideonella sakaiensis
21.97,6.86,11.22,5.92,583.62,4.08,7.03,Ideonella sakaiensis
24.02,7.49,9.42,3.77,323.74,2.36,21.67,Bacillus cereus
27.62,8.98,7.93,14.2,635.75,1.32,26.48,Pseudomonas aeruginosa
24.05,6.93,7.94,5.28,402.34,2.78,6.83,Bacillus cereus
22.04,8.88,6.02,2.2,566.13,0.92,3.61,Alcaligenes eutrophus
20.83,7.3,7.78,4.93,261.16,3.91,13.88,Pseudomonas putida
27.29,6.77,12.65,2.46,631.64,0.65,35.12,Acinetobacter baumannii
24.92,7.77,8.61,8.37,292.94,2.37,24.19,Bacillus cereus
26.1,8.08,6.74,1.12,355.0,0.65,6.27,Alcaligenes eutrophus
27.95,7.09,13.67,4.07,257.65,4.89,2.64,Ideonella sakaiensis
27.55,7.42,11.43,5.44,297.5,4.76,19.62,Ideonella sakaiensis
29.48,7.9,7.62,12.92,659.85,1.96,19.91,Pseudomonas aeruginosa
20.31,7.86,11.39,14.99,471.62,0.55,12.04,Alcaligenes eutrophus
24.66,6.65,9.05,5.97,288.0,2.09,19.61,Bacillus cereus
26.92,7.14,9.78,3.29,537.82,2.47,32.93,Acinetobacter baumannii
27.45,7.39,11.07,6.63,245.64,4.11,5.24,Ideonella sakaiensis
24.16,6.25,7.06,1.45,399.26,3.84,12.91,Pseudomonas putida
23.45,7.31,6.8,9.79,193.44,2.02,6.94,Bacillus cereus
23.1,8.83,7.09,1.3,534.5,0.22,8.89,Alcaligenes eutrophus
21.2,7.29,9.66,6.91,271.43,2.32,8.26,Bacillus cereus
21.84,7.77,9.58,13.99,287.61,0.81,12.37,Alcaligenes eutrophus
20.84,6.66,10.1,3.23,311.2,2.3,19.82,Bacillus cereus
26.64,7.16,11.0,6.27,378.31,0.7,6.54,Alcaligenes eutrophus
23.31,7.1,12.72,2.47,559.41,1.44,21.48,Acinetobacter baumannii
24.84,7.4,10.38,5.04,489.07,2.85,24.59,Bacillus cereus
23.3,6.01,10.8,1.05,366.1,3.9,14.17,Pseudomonas putida
28.05,8.15,7.9,13.68,536.0,1.99,19.26,Pseudomonas aeruginosa
22.39,7.44,9.58,5.19,408.5,4.74,12.0,Ideonella sakaiensis
27.6,7.03,9.22,10.93,608.26,0.1,29.93,Pseudomonas aeruginosa
20.39,7.44,10.63,6.95,874.84,0.19,21.68,Acinetobacter baumannii
20.03,7.41,8.9,9.03,345.69,2.89,16.53,Bacillus cereus
20.45,6.76,10.43,5.64,374.39,4.82,17.18,Ideonella sakaiensis
20.18,7.86,10.02,7.56,301.19,2.34,20.09,Bacillus cereus
23.07,7.14,6.31,3.56,442.31,2.9,19.77,Bacillus cereus
28.89,7.91,6.84,13.29,627.18,0.35,27.1,Pseudomonas aeruginosa
23.32,7.05,9.7,5.11,429.59,2.14,5.8,Bacillus cereus
21.91,6.67,6.33,5.82,377.96,2.63,9.57,Bacillus cereus
20.83,7.59,10.54,6.62,463.96,2.16,19.55,Bacillus cereus
23.61,6.8,11.57,4.28,258.49,3.84,13.46,Pseudomonas putida
24.08,7.39,7.13,4.95,103.42,3.93,13.83,Pseudomonas putida
20.32,6.02,11.23,1.27,185.83,3.77,12.33,Pseudomonas putida
23.24,7.35,12.2,6.0,897.39,0.26,15.94,Acinetobacter baumannii
29.16,8.47,9.3,11.02,661.39,0.94,13.32,Alcaligenes eutrophus
22.45,6.91,9.2,2.52,295.46,4.98,1.27,Ideonella sakaiensis
20.38,7.15,8.4,4.44,673.74,2.42,37.19,Acinetobacter baumannii
27.55,7.66,6.62,7.98,434.43,0.53,13.18,Pseudomonas aeruginosa
24.51,6.85,12.2,5.7,511.08,4.15,3.08,Ideonella sakaiensis
20.36,7.04,9.0,3.38,967.31,0.07,17.02,Acinetobacter baumannii
27.21,7.31,7.75,6.56,351.56,0.95,11.41,Pseudomonas aeruginosa
22.84,8.92,7.58,10.23,683.43,0.31,14.02,Alcaligenes eutrophus
20.71,7.12,7.91,4.75,230.04,3.88,12.34,Pseudomonas putida
24.53,7.07,8.43,2.79,109.86,3.75,13.86,Pseudomonas putida
27.65,7.89,8.4,11.46,772.77,0.47,18.25,Pseudomonas aeruginosa
27.65,6.8,8.88,4.15,321.79,4.4,4.28,Ideonella sakaiensis
29.82,8.88,10.28,3.62,652.71,0.87,4.54,Alcaligenes eutrophus
23.17,6.28,10.06,4.62,307.17,3.67,14.88,Pseudomonas putida
20.3,7.0,8.57,2.91,235.04,4.25,6.23,Ideonella sakaiensis
26.12,7.43,13.4,6.9,494.17,0.44,23.71,Acinetobacter baumannii
20.58,6.81,9.35,5.9,615.4,1.08,22.83,Acinetobacter baumannii
27.16,6.61,8.6,6.15,996.07,1.82,21.71,Acinetobacter baumannii
21.49,6.75,10.97,5.57,824.45,0.3,27.34,Acinetobacter baumannii
27.46,8.35,8.1,11.45,380.92,0.34,15.75,Pseudomonas aeruginosa
25.29,7.92,7.05,7.86,412.61,0.37,8.46,Alcaligenes eutrophus
28.21,7.8,6.14,13.31,537.22,1.38,24.11,Pseudomonas aeruginosa
28.96,7.06,13.2,6.74,273.35,4.17,6.97,Ideonella sakaiensis
27.09,6.59,9.05,4.93,829.32,2.21,21.03,Acinetobacter baumannii
23.21,7.35,8.91,1.23,307.01,3.67,13.03,Pseudomonas putida
21.72,7.49,11.23,4.18,454.94,1.76,18.61,Acinetobacter baumannii
27.91,7.14,8.35,4.41,231.29,0.03,5.18,Alcaligenes eutrophus
27.38,7.15,13.4,3.8,511.24,4.01,15.07,Ideonella sakaiensis
26.52,8.15,9.81,6.26,309.39,0.39,28.59,Pseudomonas aeruginosa
21.43,7.8,8.02,8.04,625.81,0.01,8.94,Alcaligenes eutrophus
21.62,7.22,9.15,7.17,729.85,1.8,27.7,Acinetobacter baumannii
23.29,6.8,10.01,3.7,716.04,0.84,34.65,Acinetobacter baumannii
27.81,8.65,9.27,13.93,642.67,0.86,16.26,Pseudomonas aeruginosa
24.22,7.08,10.9,2.01,181.04,0.79,2.97,Alcaligenes eutrophus
20.23,7.42,8.61,5.17,706.45,1.33,30.27,Acinetobacter baumannii
21.52,7.61,7.01,9.95,456.17,2.33,18.06,Bacillus cereus
28.12,7.19,7.49,7.86,334.38,1.98,23.54,Pseudomonas aeruginosa
29.78,8.13,8.7,13.87,366.31,1.43,25.31,Pseudomonas aeruginosa
28.12,7.98,5.79,5.12,250.66,0.85,4.69,Alcaligenes eutrophus
28.62,7.79,5.08,13.55,497.61,0.46,22.92,Pseudomonas aeruginosa
25.27,7.58,8.97,12.0,657.68,0.82,26.84,Pseudomonas aeruginosa
20.71,7.17,5.4,2.07,283.32,0.38,5.08,Alcaligenes eutrophus
23.16,7.58,8.95,3.75,219.53,0.39,5.88,Alcaligenes eutrophus
23.79,6.89,6.64,8.23,386.86,2.46,23.95,Bacillus cereus
21.6,6.91,12.53,5.34,501.61,4.03,14.91,Ideonella sakaiensis
22.37,7.35,11.25,3.43,552.86,4.84,9.39,Ideonella sakaiensis
21.45,6.37,10.28,3.17,325.59,3.88,12.4,Pseudomonas putida
23.55,6.71,10.46,1.16,371.77,3.86,14.77,Pseudomonas putida
29.52,8.41,6.19,6.84,569.64,0.44,9.82,Alcaligenes eutrophus
20.86,7.39,6.89,6.64,389.53,2.25,8.88,Bacillus cereus
25.32,7.56,6.06,13.82,349.77,0.13,10.2,Alcaligenes eutrophus
28.16,6.59,12.11,3.48,246.04,4.36,17.1,Ideonella sakaiensis
25.33,7.22,13.39,7.51,777.94,2.45,38.33,Acinetobacter baumannii
25.93,8.14,5.4,6.76,349.69,0.17,7.4,Alcaligenes eutrophus
21.9,6.61,13.72,4.82,402.43,4.24,6.94,Ideonella sakaiensis
29.36,7.29,5.62,6.83,589.46,0.56,16.65,Pseudomonas aeruginosa
22.71,6.64,10.46,3.55,303.93,3.83,13.99,Pseudomonas putida
21.4,6.42,11.18,4.66,171.83,3.69,13.91,Pseudomonas putida
20.74,7.33,7.87,4.75,156.35,2.26,8.35,Bacillus cereus
23.01,6.75,12.33,7.71,333.96,4.76,7.62,Ideonella sakaiensis
23.32,6.52,7.19,8.98,290.84,2.37,22.96,Bacillus cereus
24.38,6.77,11.04,2.16,228.99,4.87,3.9,Ideonella sakaiensis
25.54,8.56,7.88,9.65,381.17,0.03,2.62,Alcaligenes eutrophus
24.64,6.49,8.82,2.8,251.94,3.96,14.51,Pseudomonas putida
27.51,7.11,9.27,9.49,450.17,4.88,18.92,Ideonella sakaiensis
20.97,6.83,9.96,9.56,308.81,2.95,21.86,Bacillus cereus
22.79,6.79,8.31,5.61,966.97,0.98,28.11,Acinetobacter baumannii
29.25,7.22,9.14,4.35,417.49,1.82,23.06,Pseudomonas aeruginosa
24.14,6.87,13.33,9.9,298.24,4.46,19.96,Ideonella sakaiensis
24.6,7.37,6.3,8.31,387.42,2.09,9.29,Bacillus cereus
20.32,6.59,11.27,2.25,411.77,1.54,18.49,Acinetobacter baumannii
28.96,7.62,5.51,14.26,400.46,0.21,21.04,Pseudomonas aeruginosa
20.21,7.13,9.88,4.64,495.97,2.96,22.35,Bacillus cereus
28.38,8.62,5.91,6.94,599.88,0.01,25.63,Pseudomonas aeruginosa
23.0,6.83,9.89,9.34,373.78,4.45,8.07,Ideonella sakaiensis
20.78,6.98,7.32,1.97,202.77,3.66,14.72,Pseudomonas putida
21.06,7.69,6.67,8.13,483.54,2.02,19.6,Bacillus cereus
28.04,7.02,6.61,9.0,328.65,1.56,20.05,Pseudomonas aeruginosa
26.84,7.06,10.95,3.88,968.08,0.37,22.03,Acinetobacter baumannii
24.93,7.3,8.22,4.0,516.76,1.07,16.2,Acinetobacter baumannii
29.83,8.22,5.36,9.24,105.93,0.98,3.67,Alcaligenes eutrophus
21.58,6.67,9.27,6.77,313.07,4.96,4.81,Ideonella sakaiensis
27.46,8.62,9.31,6.81,315.44,0.1,13.8,Pseudomonas aeruginosa
24.27,6.66,9.52,9.93,381.3,4.25,11.36,Ideonella sakaiensis
24.15,6.95,10.98,7.42,453.33,2.44,14.44,Bacillus cereus
23.83,7.16,13.39,6.87,946.18,2.12,27.58,Acinetobacter baumannii
25.75,7.95,6.41,10.66,461.29,0.43,15.32,Pseudomonas aeruginosa
22.55,6.37,9.12,2.38,292.25,3.62,13.86,Pseudomonas putida
29.58,6.88,9.29,7.74,271.2,4.23,6.64,Ideonella sakaiensis
24.95,7.24,8.42,6.56,246.86,2.44,16.7,Bacillus cereus
21.1,6.29,9.78,1.97,230.72,3.78,13.51,Pseudomonas putida
24.57,6.19,9.89,2.38,202.45,3.65,14.05,Pseudomonas putida
21.27,6.75,10.93,5.3,464.85,4.65,19.14,Ideonella sakaiensis
27.75,6.96,11.09,4.46,430.52,4.4,8.3,Ideonella sakaiensis
23.11,7.33,13.16,5.77,239.69,4.13,15.95,Ideonella sakaiensis
23.47,6.66,9.2,8.95,400.3,4.72,16.43,Ideonella sakaiensis
25.23,7.11,8.99,4.79,450.17,1.95,39.25,Acinetobacter baumannii
24.38,6.79,12.93,6.19,639.97,0.58,23.12,Acinetobacter baumannii
29.03,8.78,5.45,1.51,642.98,0.63,6.26,Alcaligenes eutrophus
23.58,7.49,5.24,11.87,514.28,0.81,11.91,Alcaligenes eutrophus
24.52,6.52,13.26,4.5,441.91,0.89,33.34,Acinetobacter baumannii
24.18,7.5,8.34,6.48,374.31,2.65,8.59,Bacillus cereus
20.98,7.13,11.08,1.55,392.8,3.77,14.62,Pseudomonas putida
26.9,7.12,7.55,4.55,331.21,0.37,12.72,Pseudomonas aeruginosa
26.72,7.26,12.39,3.59,675.22,2.36,24.52,Acinetobacter baumannii
20.43,8.53,8.41,10.71,434.93,0.92,13.62,Alcaligenes eutrophus
24.47,6.98,13.88,7.19,400.24,1.23,21.02,Acinetobacter baumannii
27.99,8.47,8.57,7.78,456.15,0.28,2.98,Alcaligenes eutrophus
27.25,7.44,8.42,13.13,402.15,0.23,11.9,Alcaligenes eutrophus
24.53,7.72,6.64,5.0,396.19,2.99,16.48,Bacillus cereus
23.92,6.56,7.44,6.99,170.69,2.39,8.35,Bacillus cereus
26.28,6.86,10.33,2.82,972.24,0.61,30.52,Acinetobacter baumannii
29.47,8.28,8.78,7.62,211.99,0.97,1.49,Alcaligenes eutrophus
20.64,8.54,5.25,1.08,661.57,0.56,2.51,Alcaligenes eutrophus
27.78,8.24,6.61,5.89,310.27,1.0,26.83,Pseudomonas aeruginosa
24.06,6.36,7.6,3.75,323.27,3.86,12.5,Pseudomonas putida
27.45,8.17,6.62,6.67,333.87,0.5,17.89,Pseudomonas aeruginosa
22.91,6.12,11.08,2.56,187.48,3.85,14.97,Pseudomonas putida
29.55,8.71,6.92,8.1,398.99,1.58,29.9,Pseudomonas aeruginosa
22.12,6.83,11.72,4.02,254.23,3.84,13.12,Pseudomonas putida
24.35,6.96,7.66,9.83,212.86,2.85,18.9,Bacillus cereus
28.53,6.73,13.41,6.26,474.9,4.98,10.54,Ideonella sakaiensis
26.33,6.76,12.11,5.75,413.56,4.48,16.04,Ideonella sakaiensis
28.84,7.17,12.79,6.28,348.11,4.74,2.95,Ideonella sakaiensis
24.79,6.41,7.9,3.62,129.02,3.59,14.6,Pseudomonas putida
